DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter5,Abatacept,DDInter1966,Zinc sulfate,Minor
DDInter6,Abciximab,DDInter20,Acetylsalicylic acid,Moderate
DDInter6,Abciximab,DDInter336,Celecoxib,Moderate
DDInter6,Abciximab,DDInter856,Heparin,Major
DDInter6,Abciximab,DDInter900,Ibuprofen,Moderate
DDInter6,Abciximab,DDInter921,Indomethacin,Moderate
DDInter6,Abciximab,DDInter1424,Pentosan polysulfate,Moderate
DDInter6,Abciximab,DDInter1426,Pentoxifylline,Moderate
DDInter223,Bosentan,DDInter7,Abemaciclib,Moderate
DDInter438,Conivaptan,DDInter7,Abemaciclib,Major
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter561,Diltiazem,DDInter7,Abemaciclib,Moderate
DDInter602,Dronedarone,DDInter7,Abemaciclib,Moderate
DDInter1085,Lomitapide,DDInter7,Abemaciclib,Major
DDInter1228,Mipomersen,DDInter7,Abemaciclib,Major
DDInter1570,Ranolazine,DDInter7,Abemaciclib,Moderate
DDInter1928,Verapamil,DDInter7,Abemaciclib,Moderate
DDInter31,Adenosine,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter46,Aliskiren,Moderate
DDInter76,Amiodarone,DDInter8,Abiraterone,Major
DDInter192,Bepridil,DDInter8,Abiraterone,Major
DDInter305,Carvedilol,DDInter8,Abiraterone,Moderate
DDInter341,Cerivastatin,DDInter8,Abiraterone,Moderate
DDInter438,Conivaptan,DDInter8,Abiraterone,Minor
DDInter575,Disopyramide,DDInter8,Abiraterone,Major
DDInter580,Dofetilide,DDInter8,Abiraterone,Major
DDInter602,Dronedarone,DDInter8,Abiraterone,Major
DDInter740,Flecainide,DDInter8,Abiraterone,Moderate
DDInter769,Fluvastatin,DDInter8,Abiraterone,Moderate
DDInter847,Guanfacine,DDInter8,Abiraterone,Moderate
DDInter901,Ibutilide,DDInter8,Abiraterone,Major
DDInter987,Isoprenaline,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter996,Ivabradine,Major
DDInter8,Abiraterone,DDInter1085,Lomitapide,Major
