entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0118,Nitroglycerin,Nitroglycerin,glyceryl trinitrate,antianginal,no_donor,,,low,False,systemic,unspecified_systemic,4917,,DrugBank DB00727,source_partial
sys_med_0119,Desmopressin,Desmopressin,desmopressin acetate,antidiuretic,vasopressin_v2_receptor_agonist,,,low,False,systemic,unspecified_systemic,3251,,DrugBank DB00035,source_partial
sys_med_0120,Hydroxychloroquine,Hydroxychloroquine,hydroxychloroquine sulfate,immunosuppressant_systemic,tlr_inhibitor,,,low,False,systemic,unspecified_systemic,5521,,DrugBank DB01611,source_partial
sys_med_0121,Mycophenolate,Mycophenolate,mycophenolate mofetil,immunosuppressant_systemic,imdh_inhibitor,,,low,False,systemic,unspecified_systemic,265323,,DrugBank DB01024,source_partial
sys_med_0122,Azathioprine,Azathioprine,azathioprine,immunosuppressant_systemic,purine_analog,,,low,False,systemic,unspecified_systemic,1256,,DrugBank DB00993,source_partial
sys_med_0123,Sulfasalazine,Sulfasalazine,sulfasalazine,dmard,antiinflammatory,,,low,False,systemic,unspecified_systemic,9524,,DrugBank DB00764,source_partial
sys_med_0124,Leflunomide,Leflunomide,leflunomide,dmard,dhodh_inhibitor,,,low,False,systemic,unspecified_systemic,27169,,DrugBank DB01097,source_partial
sys_med_0125,Tadalafil,Tadalafil,tadalafil,pde5_inhibitor,cyp3a4_substrate|pde5_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,358263,,DrugBank DB00820,source_partial
sys_med_0126,Finasteride,Finasteride,finasteride,5ari,5alpha_reductase_inhibitor|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,25025,,DrugBank DB01216,source_partial
sys_med_0127,Loperamide,Loperamide,loperamide hydrochloride,antidiarrheal,cyp3a4_substrate|mu_opioid_receptor_agonist|p_gp_substrate,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,6468,,DrugBank DB00836,source_partial
sys_med_0128,Metoclopramide,Metoclopramide,metoclopramide hydrochloride,antiemetic,d2_antagonist_5ht4_agonist,,,low,False,systemic,unspecified_systemic,6915,,DrugBank DB01233,source_partial
sys_med_0129,Buspirone,Buspirone,buspirone hydrochloride,anxiolytic,5ht1a_partial_agonist|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,1827,,DrugBank DB00490,source_partial
sys_med_0130,Azithromycin systemic,Azithromycin systemic,azithromycin systemic,antibiotic_macrolide_systemic,50S_inhibitor,,,low,False,systemic,unspecified_systemic,,,DrugBank DB00207,source_partial
sys_med_0131,Ciprofloxacin systemic,Ciprofloxacin systemic,ciprofloxacin systemic,antibiotic_fluoroquinolone_systemic,cyp1a2_inhibitor|dna_gyrase_inhibitor,CYP1A2,,low,False,systemic,unspecified_systemic,,,DrugBank DB00537,source_partial
sys_med_0132,Levofloxacin systemic,Levofloxacin systemic,levofloxacin systemic,antibiotic_fluoroquinolone_systemic,dna_gyrase_inhibitor,,,low,False,systemic,unspecified_systemic,,,DrugBank DB01137,source_partial
sys_med_0133,Diclofenac systemic,Diclofenac systemic,diclofenac sodium systemic,nsaid_systemic,cox1_cox2_inhibitor|cyp2c9_substrate,CYP2C9,,low,False,systemic,unspecified_systemic,,,DrugBank DB00586,source_partial
sys_med_0134,Indomethacin systemic,Indomethacin systemic,indomethacin systemic,nsaid_systemic,cox1_cox2_inhibitor,,,medium,False,systemic,unspecified_systemic,,,DrugBank DB00328,source_partial
sys_med_0135,Tiotropium,Tiotropium,tiotropium bromide,respiratory_anticholinergic,anticholinergic_systemic|muscarinic_receptor_antagonist,,,low,False,systemic,unspecified_systemic,69120,,DrugBank DB01409,source_partial
sys_med_0136,Salmeterol,Salmeterol,salmeterol xinafoate,respiratory_beta2_agonist,beta2_adrenergic_agonist|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,36117,,DrugBank DB00938,source_partial
sys_med_0137,Budesonide,Budesonide,budesonide,respiratory_corticosteroid,corticosteroid_systemic|cyp3a4_substrate|glucocorticoid_receptor_agonist,CYP3A4,,low,False,systemic,unspecified_systemic,19831,,DrugBank DB01222,source_partial
sys_med_0138,Haloperidol,Haloperidol,haloperidol,antipsychotic_typical,cyp2d6_substrate|cyp3a4_substrate|d2_antagonist|qt_prolonging,CYP2D6|CYP3A4,,medium,False,systemic,unspecified_systemic,5093,,DrugBank DB00502,source_partial
sys_med_0139,Clozapine,Clozapine,clozapine,antipsychotic_atypical,cyp1a2_substrate|d2_5ht2a_antagonist|anticholinergic_systemic,CYP1A2,,medium,False,systemic,unspecified_systemic,2626,,DrugBank DB00363,source_partial
sys_med_0140,Nortriptyline,Nortriptyline,nortriptyline hydrochloride,antidepressant_tca,cyp2d6_substrate|net_inhibitor|anticholinergic_systemic,CYP2D6,,medium,False,systemic,unspecified_systemic,7531,,DrugBank DB00540,source_partial
sys_med_0141,Paroxetine,Paroxetine,paroxetine hydrochloride,antidepressant_ssri,cyp2d6_inhibitor|sert_inhibitor|anticholinergic_systemic,CYP2D6,,low,False,systemic,unspecified_systemic,32937,,DrugBank DB00715,source_partial
sys_med_0142,Escitalopram,Escitalopram,escitalopram oxalate,antidepressant_ssri,sert_inhibitor,,,low,False,systemic,unspecified_systemic,321988,,DrugBank DB01175,source_partial
sys_med_0143,Fluvoxamine,Fluvoxamine,fluvoxamine maleate,antidepressant_ssri,cyp1a2_inhibitor|cyp2c19_inhibitor|cyp3a4_inhibitor|sert_inhibitor,CYP1A2|CYP2C19|CYP3A4,,low,False,systemic,unspecified_systemic,42355,,DrugBank DB00176,source_partial
sys_med_0144,Gabapentin,Gabapentin,gabapentin,antiepileptic,calcium_channel_alpha2delta_ligand,,,low,False,systemic,unspecified_systemic,25480,,DrugBank DB00396,source_partial
sys_med_0145,Topiramate,Topiramate,topiramate,antiepileptic,cai_systemic|na_channel_blocker_gaba_ergic,,,low,False,systemic,unspecified_systemic,38404,,DrugBank DB00273,source_partial
sys_med_0146,Pantoprazole,Pantoprazole,pantoprazole sodium,proton_pump_inhibitor,cyp2c19_substrate|h_k_atpase_inhibitor,CYP2C19,,low,False,systemic,unspecified_systemic,40790,,DrugBank DB00213,source_partial
sys_med_0147,Esomeprazole,Esomeprazole,esomeprazole magnesium,proton_pump_inhibitor,cyp2c19_inhibitor|h_k_atpase_inhibitor,CYP2C19,,low,False,systemic,unspecified_systemic,283742,,DrugBank DB00736,source_partial
sys_med_0148,Lansoprazole,Lansoprazole,lansoprazole,proton_pump_inhibitor,cyp2c19_substrate|cyp3a4_substrate|h_k_atpase_inhibitor,CYP2C19|CYP3A4,,low,False,systemic,unspecified_systemic,17128,,DrugBank DB00448,source_partial
sys_med_0149,Erythromycin systemic,Erythromycin systemic,erythromycin systemic,antibiotic_macrolide_systemic,50S_inhibitor|cyp3a4_inhibitor,CYP3A4,,medium,False,systemic,unspecified_systemic,,,DrugBank DB00199,source_partial
sys_med_0150,Voriconazole systemic,Voriconazole systemic,voriconazole systemic,antifungal_azole_systemic,cyp2c19_inhibitor|cyp2c9_inhibitor|cyp3a4_inhibitor|cyp51_inhibitor,CYP2C9|CYP2C19|CYP3A4,,medium,False,systemic,unspecified_systemic,,,DrugBank DB00582,source_partial
sys_med_0151,Ketoconazole,Ketoconazole,ketoconazole,antifungal_azole_systemic,cyp3a4_inhibitor|cyp51_inhibitor|p_gp_inhibitor,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,6135,,DrugBank DB01026,source_partial
sys_med_0152,Tamoxifen,Tamoxifen,tamoxifen citrate,antineoplastic_hormonal,cyp2d6_substrate|cyp3a4_substrate|estrogen_receptor_modulator,CYP2D6|CYP3A4,,low,False,systemic,unspecified_systemic,10324,,DrugBank DB00675,source_partial
sys_med_0153,Imatinib,Imatinib,imatinib mesylate,antineoplastic_tyrosine_kinase_inhibitor,bcr_abl_inhibitor|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,282388,,DrugBank DB00619,source_partial
sys_med_0154,Methotrexate systemic,Methotrexate systemic,methotrexate systemic,antineoplastic_antimetabolite,dhfr_inhibitor|narrow_therapeutic_index,,,high,True,systemic,unspecified_systemic,,,DrugBank DB00563,source_partial
sys_med_0155,Cyclophosphamide,Cyclophosphamide,cyclophosphamide,antineoplastic_alkylating,cyp2b6_substrate|cyp3a4_substrate|dna_crosslinker,CYP2B6|CYP3A4,,medium,False,systemic,unspecified_systemic,3002,,DrugBank DB00527,source_partial
sys_med_0156,Capecitabine,Capecitabine,capecitabine,antineoplastic_antimetabolite,thymidylate_synthase_inhibitor_prodrug,,,low,False,systemic,unspecified_systemic,194000,,DrugBank DB01101,source_partial
sys_med_0157,Clindamycin,Clindamycin,clindamycin,antibiotic_lincosamide,50S_inhibitor,,,low,False,systemic,unspecified_systemic,2582,,DrugBank DB01190,source_partial
sys_med_0158,Linezolid,Linezolid,linezolid,antibiotic_oxazolidinone,50S_inhibitor|maoi,,,low,False,systemic,unspecified_systemic,190376,,DrugBank DB00601,source_partial
sys_med_0159,Tramadol,Tramadol,tramadol hydrochloride,opioid,cns_depressant|cyp2d6_substrate|cyp3a4_substrate|mu_opioid_receptor_agonist,CYP2D6|CYP3A4,,low,False,systemic,unspecified_systemic,10689,,DrugBank DB00193,source_partial
sys_med_0160,Rosiglitazone,Rosiglitazone,rosiglitazone maleate,antidiabetic_tzd,cyp2c8_substrate|ppar_gamma_agonist,CYP2C8,,low,False,systemic,unspecified_systemic,84108,,DrugBank DB00412,source_partial
sys_med_0161,Vildagliptin,Vildagliptin,vildagliptin,antidiabetic_dpp4_inhibitor,dpp4_inhibitor,,,low,False,systemic,unspecified_systemic,596554,,DrugBank DB04876,source_partial
sys_med_0162,Saxagliptin,Saxagliptin,saxagliptin hydrochloride,antidiabetic_dpp4_inhibitor,cyp3a4_substrate|dpp4_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,857974,,DrugBank DB06335,source_partial
sys_med_0163,Glibenclamide,Glibenclamide,glyburide|glibenclamide,antidiabetic_sulfonylurea,cyp2c9_substrate|cyp3a4_substrate|k_atp_channel_blocker,CYP2C9|CYP3A4,,medium,False,systemic,unspecified_systemic,4815,,DrugBank DB01016,source_partial
sys_med_0164,Insulin aspart,Insulin aspart,insulin aspart|NovoRapid,antidiabetic_insulin,insulin_receptor_agonist,,,medium,False,systemic,unspecified_systemic,51428,,DrugBank DB01306,source_partial
sys_med_0165,Dulaglutide,Dulaglutide,dulaglutide,antidiabetic_glp1_ra,glp1_receptor_agonist,,,low,False,systemic,unspecified_systemic,1551291,,DrugBank DB09045,source_partial
sys_med_0166,Clomipramine,Clomipramine,clomipramine hydrochloride,antidepressant_tca,cyp1a2_substrate|cyp2d6_substrate|sert_inhibitor|anticholinergic_systemic,CYP2D6|CYP1A2,,medium,False,systemic,unspecified_systemic,2597,,DrugBank DB01242,source_partial
sys_med_0167,Desvenlafaxine,Desvenlafaxine,desvenlafaxine succinate,antidepressant_snri,sert_net_inhibitor,,,low,False,systemic,unspecified_systemic,734064,,DrugBank DB06700,source_partial
sys_med_0168,Zoledronic acid,Zoledronic acid,zoledronate,bisphosphonate,farnesyl_pyrophosphate_synthase_inhibitor,,,low,False,systemic,unspecified_systemic,77655,,DrugBank DB00399,source_partial
sys_med_0169,Febuxostat,Febuxostat,febuxostat,anti_gout,xanthine_oxidase_inhibitor,,,low,False,systemic,unspecified_systemic,73689,,DrugBank DB04854,source_partial
sys_med_0170,Dipyridamole,Dipyridamole,dipyridamole,antiplatelet,antiplatelet|phosphodiesterase_inhibitor,,,low,False,systemic,unspecified_systemic,3521,,DrugBank DB00937,source_partial
sys_med_0171,Cilostazol,Cilostazol,cilostazol,antiplatelet,antiplatelet|cyp2c19_substrate|cyp3a4_substrate|pde3_inhibitor,CYP3A4|CYP2C19,,low,False,systemic,unspecified_systemic,21107,,DrugBank DB01166,source_partial
sys_med_0172,Heparin,Heparin,unfractionated heparin,anticoagulant_parenteral,anticoagulant|antithrombin_iii_activator,,,medium,False,systemic,unspecified_systemic,235473,,DrugBank DB01309,source_partial
sys_med_0173,Enoxaparin,Enoxaparin,enoxaparin sodium,anticoagulant_lmw_heparin,anticoagulant|antithrombin_iii_activator,,,medium,False,systemic,unspecified_systemic,67108,,DrugBank DB01225,source_partial
sys_med_0174,Fondaparinux,Fondaparinux,fondaparinux sodium,anticoagulant_parenteral,anticoagulant|factor_xa_inhibitor_indirect,,,low,False,systemic,unspecified_systemic,321208,,DrugBank DB01223,source_partial
sys_med_0175,Amoxicillin,Amoxicillin,amoxicillin,antibiotic_penicillin,beta_lactam_cell_wall_inhibitor,,,low,False,systemic,unspecified_systemic,723,,DrugBank DB01060,source_partial
sys_med_0176,Hydrocortisone,Hydrocortisone,hydrocortisone systemic,corticosteroid_systemic,corticosteroid_systemic|glucocorticoid_receptor_agonist,,,low,False,systemic,unspecified_systemic,5492,,DrugBank DB00741,source_partial
sys_med_0177,Perindopril,Perindopril,perindopril,ace_inhibitor,ace_inhibitor|antihypertensive|prodrug,,,low,False,systemic,unspecified_systemic,54552,,DrugBank DB00790,source_partial
sys_med_0178,Telmisartan,Telmisartan,telmisartan,arb,angiotensin_ii_receptor_antagonist|antihypertensive,,,low,False,systemic,unspecified_systemic,73494,,DrugBank DB00966,source_partial
sys_med_0179,Indapamide,Indapamide,indapamide,thiazide_like_diuretic,ncc_inhibitor|diuretic,,,medium,False,systemic,unspecified_systemic,5764,,DrugBank DB00808,source_partial
sys_med_0180,Ivabradine,Ivabradine,ivabradine hydrochloride,antianginal,cyp3a4_substrate|if_channel_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,1649480,,DrugBank DB09042,source_partial
sys_med_0181,Ranolazine,Ranolazine,ranolazine,antianginal,cyp2d6_substrate|cyp3a4_substrate|late_na_channel_inhibitor,CYP3A4|CYP2D6,,low,False,systemic,unspecified_systemic,35829,,DrugBank DB01627,source_partial
sys_med_0182,Isosorbide mononitrate,Isosorbide mononitrate,isosorbide mononitrate,antianginal,no_donor,,,low,False,systemic,unspecified_systemic,28004,,DrugBank DB01020,source_partial
sys_med_0183,Fluvastatin,Fluvastatin,fluvastatin sodium,statin,cyp2c9_substrate|hmg_coa_reductase_inhibitor,CYP2C9,,low,False,systemic,unspecified_systemic,41127,,DrugBank DB01095,source_partial
sys_med_0184,Propofol,Propofol,propofol,anesthetic_iv,gaba_a_positive_allosteric_modulator,,,low,False,systemic,unspecified_systemic,8782,,DrugBank DB00818,source_partial
sys_med_0185,Dexmedetomidine,Dexmedetomidine,dexmedetomidine hydrochloride,sedative,alpha2_adrenergic_agonist,,,low,False,systemic,unspecified_systemic,48937,,DrugBank DB00633,source_partial
sys_med_0186,Epinephrine,Epinephrine,adrenaline,vasopressor_anaphylaxis,alpha_beta_adrenergic_agonist,,,high,False,systemic,unspecified_systemic,3992,,DrugBank DB00668,source_partial
sys_med_0187,Norepinephrine,Norepinephrine,noradrenaline,vasopressor,alpha1_beta1_adrenergic_agonist,,,low,False,systemic,unspecified_systemic,7512,,DrugBank DB00368,source_partial
sys_med_0188,Vasopressin,Vasopressin,arginine vasopressin,vasopressor,v1_v2_receptor_agonist,,,medium,False,systemic,unspecified_systemic,11149,,DrugBank DB00078,source_partial
sys_med_0189,Oseltamivir,Oseltamivir,oseltamivir phosphate,antiviral_systemic,neuraminidase_inhibitor,,,low,False,systemic,unspecified_systemic,260101,,DrugBank DB00198,source_partial
sys_med_0190,Remdesivir,Remdesivir,remdesivir,antiviral_systemic,rna_polymerase_inhibitor,,,low,False,systemic,unspecified_systemic,2284718,,DrugBank DB14761,source_partial
sys_med_0191,Tenofovir,Tenofovir,tenofovir disoproxil fumarate,antiviral_hiv,reverse_transcriptase_inhibitor,,,low,False,systemic,unspecified_systemic,117466,,DrugBank DB00300,source_partial
sys_med_0192,Ritonavir,Ritonavir,ritonavir,antiviral_hiv_protease_inhibitor,cyp3a4_inhibitor|hiv_protease_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,85762,,DrugBank DB00503,source_partial
sys_med_0193,Letrozole,Letrozole,letrozole,antineoplastic_aromatase_inhibitor,aromatase_inhibitor|cyp2a6_inhibitor,CYP2A6,,low,False,systemic,unspecified_systemic,72965,,DrugBank DB01045,source_partial
sys_med_0194,Aprepitant,Aprepitant,aprepitant,antiemetic_nk1,cyp3a4_inhibitor|cyp3a4_substrate|nk1_receptor_antagonist,CYP3A4,,low,False,systemic,unspecified_systemic,358255,,DrugBank DB00373,source_partial
sys_med_0195,Terazosin,Terazosin,terazosin hydrochloride,alpha_blocker,alpha1_adrenergic_antagonist,,,low,False,systemic,unspecified_systemic,37798,,DrugBank DB01121,source_partial
sys_med_0196,Dutasteride,Dutasteride,dutasteride,5ari,5alpha_reductase_inhibitor|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,228790,,DrugBank DB01126,source_partial
sys_med_0197,Levodopa/Carbidopa,Levodopa/Carbidopa,co-careldopa,antiparkinson,dopamine_precursor_ddc_inhibitor,,,low,False,systemic,unspecified_systemic,103990,,DrugBank DB01235,source_partial
sys_med_0198,Pramipexole,Pramipexole,pramipexole dihydrochloride,antiparkinson,d2_d3_receptor_agonist,,,low,False,systemic,unspecified_systemic,746741,,DrugBank DB00413,source_partial
sys_med_0199,Octreotide,Octreotide,octreotide acetate,somatostatin_analog,somatostatin_receptor_agonist,,,low,False,systemic,unspecified_systemic,7617,,DrugBank DB00104,source_partial
sys_med_0200,Methimazole,Methimazole,methimazole|thiamazole,antithyroid,thyroid_peroxidase_inhibitor,,,low,False,systemic,unspecified_systemic,6835,,DrugBank DB00763,source_partial
sys_med_0201,Montelukast,Montelukast,montelukast sodium,respiratory_leukotriene_modifier,cyp2c8_substrate|cyp2c9_substrate|cyp3a4_substrate|cyslt1_receptor_antagonist,CYP2C8|CYP3A4|CYP2C9,,low,False,systemic,unspecified_systemic,88249,,DrugBank DB00471,source_partial
sys_med_0202,Theophylline,Theophylline,theophylline,respiratory_xanthine,adenosine_receptor_antagonist_pde_inhibitor|cyp1a2_substrate|narrow_therapeutic_index,CYP1A2,,high,True,systemic,unspecified_systemic,10438,,DrugBank DB00277,source_partial
sys_med_0203,Acarbose,Acarbose,acarbose,antidiabetic_alpha_glucosidase_inhibitor,alpha_glucosidase_inhibitor,,,low,False,systemic,unspecified_systemic,16681,,DrugBank DB00284,source_partial
sys_med_0204,Repaglinide,Repaglinide,repaglinide,antidiabetic_glinide,cyp2c8_substrate|cyp3a4_substrate|k_atp_channel_blocker,CYP2C8|CYP3A4,,medium,False,systemic,unspecified_systemic,73044,,DrugBank DB00912,source_partial
sys_med_0205,Nateglinide,Nateglinide,nateglinide,antidiabetic_glinide,cyp2c9_substrate|cyp3a4_substrate|k_atp_channel_blocker,CYP2C9|CYP3A4,,medium,False,systemic,unspecified_systemic,274332,,DrugBank DB00731,source_partial
sys_med_0206,Ezetimibe,Ezetimibe,ezetimibe,lipid_lowering_cholesterol_absorption_inhibitor,npc1l1_inhibitor,,,low,False,systemic,unspecified_systemic,341248,,DrugBank DB00973,source_partial
sys_med_0207,Fenofibrate,Fenofibrate,fenofibrate,lipid_lowering_fibrate,ppar_alpha_agonist,,,low,False,systemic,unspecified_systemic,8703,,DrugBank DB01039,source_partial
sys_med_0208,Gemfibrozil,Gemfibrozil,gemfibrozil,lipid_lowering_fibrate,cyp2c8_inhibitor|ppar_alpha_agonist,CYP2C8,,low,False,systemic,unspecified_systemic,4719,,DrugBank DB01241,source_partial
sys_med_0209,Donepezil,Donepezil,donepezil hydrochloride,alzheimers_cholinesterase_inhibitor,ache_inhibitor|cyp2d6_substrate|cyp3a4_substrate,CYP3A4|CYP2D6,,low,False,systemic,unspecified_systemic,135447,,DrugBank DB00843,source_partial
sys_med_0210,Rivastigmine,Rivastigmine,rivastigmine tartrate,alzheimers_cholinesterase_inhibitor,ache_buche_inhibitor,,,low,False,systemic,unspecified_systemic,183379,,DrugBank DB00989,source_partial
sys_med_0211,Memantine,Memantine,memantine hydrochloride,alzheimers_nmda_antagonist,nmda_receptor_antagonist,,,low,False,systemic,unspecified_systemic,6719,,DrugBank DB01043,source_partial
sys_med_0212,Ropinirole,Ropinirole,ropinirole hydrochloride,parkinsons_dopamine_agonist,cyp1a2_substrate|d2_d3_receptor_agonist,CYP1A2,,low,False,systemic,unspecified_systemic,72302,,DrugBank DB00268,source_partial
sys_med_0213,Codeine,Codeine,codeine phosphate,opioid,cns_depressant|cyp2d6_substrate|cyp3a4_substrate|mu_opioid_receptor_agonist,CYP2D6|CYP3A4,,medium,False,systemic,unspecified_systemic,2670,,DrugBank DB00318,source_partial
sys_med_0214,Tapentadol,Tapentadol,tapentadol hydrochloride,opioid,cns_depressant|mu_opioid_receptor_agonist_nri,,,low,False,systemic,unspecified_systemic,787390,,DrugBank DB06204,source_partial
sys_med_0215,Mesalamine,Mesalamine,mesalazine|5-ASA,anti_inflammatory_intestinal,unknown_anti_inflammatory,,,low,False,systemic,unspecified_systemic,52582,,DrugBank DB00244,source_partial
sys_med_0216,Ursodeoxycholic acid,Ursodeoxycholic acid,ursodiol|UDCA,gallstone_dissolution,bile_acid_replacement,,,low,False,systemic,unspecified_systemic,11065,,DrugBank DB01586,source_partial
sys_med_0217,Lactulose,Lactulose,lactulose,laxative_osmotic,osmotic_laxative,,,low,False,systemic,unspecified_systemic,6218,,DrugBank DB04468,source_partial
sys_med_0218,Cefalexin,Cefalexin,cephalexin,antibiotic_cephalosporin_1g,cell_wall_synthesis_inhibitor,,,low,False,systemic,unspecified_systemic,2231,,DrugBank DB00567,source_partial
sys_med_0219,Ceftriaxone,Ceftriaxone,ceftriaxone,antibiotic_cephalosporin_3g,cell_wall_synthesis_inhibitor,,,low,False,systemic,unspecified_systemic,2193,,DrugBank DB01212,source_partial
sys_med_0220,Cefixime,Cefixime,cefixime,antibiotic_cephalosporin_3g,cell_wall_synthesis_inhibitor,,,low,False,systemic,unspecified_systemic,25033,,DrugBank DB00671,source_partial
sys_med_0221,Nitrofurantoin,Nitrofurantoin,nitrofurantoin,antibiotic_urinary,bacterial_enzyme_inhibitor,,,low,False,systemic,unspecified_systemic,7454,,DrugBank DB00698,source_partial
sys_med_0222,Estradiol,Estradiol,estradiol|E2,hormone_estrogen,estrogen_receptor_agonist,,,low,False,systemic,unspecified_systemic,4083,,DrugBank DB00783,source_partial
sys_med_0223,Testosterone,Testosterone,testosterone,hormone_androgen,androgen_receptor_agonist|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,10379,,DrugBank DB00624,source_partial
sys_med_0224,Raloxifene,Raloxifene,raloxifene hydrochloride,serm,cyp3a4_inhibitor|estrogen_receptor_modulator,,,low,False,systemic,unspecified_systemic,72143,,DrugBank DB00481,source_partial
sys_med_0225,Domperidone,Domperidone,domperidone,antiemetic_prokinetic,cyp3a4_substrate|d2_receptor_antagonist,CYP3A4,,medium,False,systemic,unspecified_systemic,3626,,DrugBank DB01184,source_partial
sys_med_0227,Probenecid,Probenecid,probenecid,anti_gout_uricosuric,urat1_inhibitor,,,low,False,systemic,unspecified_systemic,8698,,DrugBank DB01032,source_partial
sys_med_0228,Abciximab,Abciximab,abciximab,antiplatelet_gpiibiiia,antiplatelet|gpiibiiia_inhibitor,,,medium,False,systemic,unspecified_systemic,83929,,DrugBank DB00091,source_partial
sys_med_0229,Tirofiban,Tirofiban,tirofiban hydrochloride,antiplatelet_gpiibiiia,antiplatelet|gpiibiiia_inhibitor,,,medium,False,systemic,unspecified_systemic,73137,,DrugBank DB00777,source_partial
sys_med_0230,Alfuzosin,Alfuzosin,alfuzosin hydrochloride,alpha_blocker_bph,alpha1_adrenergic_antagonist|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,17300,,DrugBank DB00846,source_partial
sys_med_0231,Clonidine,Clonidine,clonidine hydrochloride,antihypertensive_central_alpha2_agonist,antihypertensive|alpha2_agonist|sympatholytic|cns_depressant,,,medium,False,systemic,unspecified_systemic,2599,,DrugBank DB00575,source_partial
sys_med_0232,Oxybutynin,Oxybutynin,oxybutynin chloride,anticholinergic_urinary,anticholinergic|antimuscarinic|cyp3a4_substrate|anticholinergic_systemic,CYP3A4,,medium,False,systemic,unspecified_systemic,7716,,DrugBank DB01062,source_partial
sys_med_0233,Acetazolamide,Acetazolamide,acetazolamide,carbonic_anhydrase_inhibitor_systemic,carbonic_anhydrase_inhibitor|diuretic|sulfonamide_derivative,,,medium,False,systemic,unspecified_systemic,109,,DrugBank DB00819,source_partial
