entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0027,Warfarin,Warfarin,warfarin sodium,anticoagulant_vitamin_k_antagonist,anticoagulant|cyp2c9_substrate|narrow_therapeutic_index|vitamin_k_epoxide_reductase_inhibitor,CYP2C9,,high,True,systemic,unspecified_systemic,11289,,DrugBank DB00682,source_partial
sys_med_0028,Apixaban,Apixaban,apixaban,anticoagulant_direct_xa_inhibitor,anticoagulant|cyp3a4_substrate|factor_xa_inhibitor|p_gp_substrate,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,1364430,,DrugBank DB06605,source_partial
sys_med_0029,Rivaroxaban,Rivaroxaban,rivaroxaban,anticoagulant_direct_xa_inhibitor,anticoagulant|cyp3a4_substrate|factor_xa_inhibitor|p_gp_substrate,CYP3A4,P-glycoprotein,low,False,systemic,unspecified_systemic,1114195,,DrugBank DB06228,source_partial
sys_med_0030,Dabigatran,Dabigatran,dabigatran etexilate,anticoagulant_direct_thrombin_inhibitor,anticoagulant|p_gp_substrate|thrombin_inhibitor,,P-glycoprotein,low,False,systemic,unspecified_systemic,1546356,,DrugBank DB06695,source_partial
sys_med_0031,Aspirin,Aspirin,acetylsalicylic acid|ASA,antiplatelet,antiplatelet|cox1_inhibitor_irreversible,,,low,False,systemic,unspecified_systemic,1191,,DrugBank DB00945,source_partial
sys_med_0032,Clopidogrel,Clopidogrel,clopidogrel bisulfate,antiplatelet,antiplatelet|cyp2c19_substrate|p2y12_inhibitor_prodrug,CYP2C19,,low,False,systemic,unspecified_systemic,32968,,DrugBank DB00758,source_partial
sys_med_0033,Ticagrelor,Ticagrelor,ticagrelor,antiplatelet,antiplatelet|cyp3a4_substrate|p2y12_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,1116632,,DrugBank DB08816,source_partial
sys_med_0034,Metformin,Metformin,metformin hydrochloride,antidiabetic_biguanide,ampk_activator,,,low,False,systemic,unspecified_systemic,6809,,DrugBank DB00331,source_partial
sys_med_0035,Gliclazide,Gliclazide,gliclazide,antidiabetic_sulfonylurea,atp_sensitive_k_channel_blocker|cyp2c9_substrate,CYP2C9,,medium,False,systemic,unspecified_systemic,4816,,DrugBank DB01120,source_partial
sys_med_0036,Glimepiride,Glimepiride,glimepiride,antidiabetic_sulfonylurea,atp_sensitive_k_channel_blocker|cyp2c9_substrate,CYP2C9,,medium,False,systemic,unspecified_systemic,25789,,DrugBank DB00222,source_partial
sys_med_0037,Sitagliptin,Sitagliptin,sitagliptin phosphate,antidiabetic_dpp4_inhibitor,dpp4_inhibitor,,,low,False,systemic,unspecified_systemic,593411,,DrugBank DB01261,source_partial
sys_med_0038,Empagliflozin,Empagliflozin,empagliflozin,antidiabetic_sglt2_inhibitor,sglt2_inhibitor,,,low,False,systemic,unspecified_systemic,1545653,,DrugBank DB09038,source_partial
sys_med_0039,Dapagliflozin,Dapagliflozin,dapagliflozin propanediol,antidiabetic_sglt2_inhibitor,sglt2_inhibitor,,,low,False,systemic,unspecified_systemic,1488564,,DrugBank DB06292,source_partial
sys_med_0040,Semaglutide,Semaglutide,semaglutide,antidiabetic_glp1_ra,glp1_receptor_agonist,,,low,False,systemic,unspecified_systemic,1991302,,DrugBank DB13928,source_partial
sys_med_0041,Atorvastatin,Atorvastatin,atorvastatin calcium,statin,cyp3a4_substrate|hmg_coa_reductase_inhibitor,CYP3A4,,low,False,systemic,unspecified_systemic,83367,,DrugBank DB01076,source_partial
sys_med_0042,Rosuvastatin,Rosuvastatin,rosuvastatin calcium,statin,hmg_coa_reductase_inhibitor,,,low,False,systemic,unspecified_systemic,301542,,DrugBank DB01098,source_partial
sys_med_0043,Simvastatin,Simvastatin,simvastatin,statin,cyp3a4_substrate|hmg_coa_reductase_inhibitor_prodrug,CYP3A4,,low,False,systemic,unspecified_systemic,36567,,DrugBank DB00641,source_partial
sys_med_0044,Amiodarone,Amiodarone,amiodarone hydrochloride,antiarrhythmic_class_iii,cyp2c9_inhibitor|cyp2d6_inhibitor|cyp3a4_inhibitor|k_channel_blocker|qt_prolonging,CYP3A4|CYP2C9|CYP2D6,,high,False,systemic,unspecified_systemic,703,,DrugBank DB01118,source_partial
sys_med_0045,Digoxin,Digoxin,digoxin,cardiac_glycoside,na_k_atpase_inhibitor|narrow_therapeutic_index|p_gp_substrate,,P-glycoprotein,high,True,systemic,unspecified_systemic,3407,,DrugBank DB00390,source_partial
sys_med_0046,Fluoxetine,Fluoxetine,fluoxetine hydrochloride,antidepressant_ssri,cyp2c9_inhibitor|cyp2d6_inhibitor|sert_inhibitor,CYP2D6|CYP2C9,,low,False,systemic,unspecified_systemic,4493,,DrugBank DB00472,source_partial
sys_med_0047,Sertraline,Sertraline,sertraline hydrochloride,antidepressant_ssri,sert_inhibitor,,,low,False,systemic,unspecified_systemic,36437,,DrugBank DB01104,source_partial
sys_med_0048,Citalopram,Citalopram,citalopram hydrobromide,antidepressant_ssri,cyp2c19_substrate|cyp3a4_substrate|sert_inhibitor,CYP2C19|CYP3A4,,low,False,systemic,unspecified_systemic,2556,,DrugBank DB00215,source_partial
sys_med_0049,Carbamazepine,Carbamazepine,carbamazepine,antiepileptic,cyp1a2_inducer|cyp2c9_inducer|cyp3a4_inducer|na_channel_blocker,CYP3A4|CYP2C9|CYP1A2,,medium,False,systemic,unspecified_systemic,2002,,DrugBank DB00564,source_partial
sys_med_0050,Valproic acid,Valproic acid,valproate|sodium valproate,antiepileptic,cyp2c19_inhibitor|cyp2c9_inhibitor|gaba_ergic,CYP2C9|CYP2C19,,medium,False,systemic,unspecified_systemic,11118,,DrugBank DB00313,source_partial
sys_med_0051,Phenytoin,Phenytoin,phenytoin sodium,antiepileptic,cyp2c9_inducer|cyp2c9_substrate|cyp3a4_inducer|na_channel_blocker|narrow_therapeutic_index,CYP2C9|CYP3A4,,high,True,systemic,unspecified_systemic,8183,,DrugBank DB00252,source_partial
sys_med_0052,Ibuprofen,Ibuprofen,ibuprofen,nsaid_systemic,cox1_cox2_inhibitor,,,low,False,systemic,unspecified_systemic,5640,,DrugBank DB01050,source_partial
